p_val	avg_diff	pct.1	pct.2	gene
3.46501567470892e-210	3.05830121026758	0.991	0.871	CG16817
3.68503897850938e-180	4.43780799513504	0.945	0.441	fabp
2.5574105410367e-164	3.97722722059107	0.982	0.419	CG12112
2.71215337262918e-161	3.60065851947793	0.973	0.639	Sec61gamma
2.99450950522117e-157	4.3978122225405	0.955	0.26	Eno
3.83260716432264e-151	4.14425000747942	1	0.33	pgc
1.27208541322589e-150	2.63769557018108	0.991	0.823	CG2852
4.43797937771184e-149	3.23270781354322	0.973	0.701	Tao
8.88888318883495e-147	5.10097681541685	0.936	0.068	stai
3.31935448378114e-143	4.10395325764316	0.918	0.33	cib
1.30696759937748e-142	4.28180503741986	0.945	0.284	zpg
4.81432784372125e-139	3.4463445892665	0.964	0.504	Hsp83
7.32506350047183e-135	5.03188843948479	0.882	0.117	BigH1
6.40693080487597e-131	2.52910685486624	0.955	0.795	CG40127
1.25688735437557e-115	2.75382216013084	0.891	0.581	CG11267
4.03086823676687e-111	3.69298336263083	0.882	0.28	Hsp27
3.59539282258132e-110	3.64141965559321	0.845	0.245	Stlk
1.05421888410115e-109	4.51916759300123	0.845	0.138	aret
3.39410798588535e-108	1.81995828148423	0.973	0.914	CG1746
6.6525194520031e-107	3.66811461463872	0.845	0.258	CG7115
5.19927892548211e-106	4.29816729140003	0.845	0.054	nos
4.36897467914658e-102	4.73466496284443	0.791	0.037	26-29-p
1.4314573302765e-101	3.80618709720458	0.827	0.114	CG17698
2.12315118319133e-101	3.99034358521937	0.836	0.165	CG32350
7.70802273320655e-99	1.7674458263681	0.982	0.899	Uev1A
4.00605985868177e-98	4.34595277696902	0.773	0.152	Cen
6.10047210530519e-96	3.94322941992387	0.809	0.134	CG8507
2.08461848720558e-95	3.3623864193093	0.782	0.272	Pglym78
1.80144285614729e-93	2.87259609306742	0.845	0.471	Tif-IA
3.02888983904638e-92	2.07596419081772	0.991	0.913	CycB
3.02908698927578e-92	2.0561568599022	0.955	0.811	lost
8.40017341678211e-91	1.77153215182853	0.973	0.904	Cyp1
8.54524069473045e-91	2.57957664277343	0.891	0.615	wisp
4.11208920228382e-90	2.74030701603339	0.827	0.437	Jafrac1
2.14432571257364e-89	2.72232217446632	0.882	0.477	Desat1
1.11756355492043e-88	2.14294883246029	0.891	0.699	eIF-4E
7.74416823166522e-88	4.83013057312123	0.682	0.029	shu
1.31556434262865e-87	3.07953971917219	0.8	0.277	CG11674
2.50149946719205e-87	4.83525529060895	0.691	0.024	spz
5.45666122865082e-85	2.14434167181624	0.9	0.668	CG14464
3.33051888719009e-83	2.96946336315212	0.764	0.285	CG12728
1.81199771994314e-81	2.54340966355285	0.818	0.496	scu
1.52912150586831e-80	3.29569009040179	0.755	0.222	CG5010
1.56138996800203e-80	1.98631440301761	0.873	0.737	Sod
1.85878955038007e-80	2.53272974275837	0.791	0.453	zuc
1.89512016191346e-80	3.91480579883887	0.691	0.07	PyK
6.44271071157438e-79	3.75707839394411	0.691	0.139	Chd64
4.03300399085708e-78	2.31482874413888	0.845	0.588	GILT1
1.59712515789762e-77	2.84627221617775	0.855	0.303	glec
3.0206486041261e-77	2.25639799398125	0.845	0.566	CG15098
1.09168905417641e-76	3.7331586503867	0.791	0.18	gcl
3.09930015127419e-76	1.94375306515919	0.827	0.676	Ubc4
1.10875748297195e-75	3.95181986256972	0.627	0.014	del
5.4798423235008e-75	3.57926400231023	0.645	0.145	Gapdh1
1.32342153873636e-74	2.76138982107924	0.736	0.386	CG17734
9.58264490968334e-74	2.66816373939641	0.755	0.321	dco
1.67651389942552e-73	2.54882642585057	0.818	0.315	cue
2.97374871848457e-72	2.39165632560303	0.809	0.431	lok
5.00604611662051e-72	2.74716160693818	0.764	0.405	Phb2
6.52316871768734e-72	1.81681703416412	0.882	0.769	Rad23
1.82903686587659e-71	4.38877687558759	0.636	0.037	CanB2
2.67875253289508e-70	3.7975056171757	0.618	0.091	Jabba
1.6989011245291e-68	2.55541738063856	0.818	0.427	mei-P26
1.96314531300535e-68	2.0888103276948	0.864	0.603	CG4949
2.80421438858559e-67	1.69680448370146	0.945	0.844	eIF5
1.968989230092e-66	2.58895279621657	0.673	0.306	cta
5.84320923030073e-66	1.83588118198365	0.9	0.74	Droj2
9.61084500016475e-65	3.84230996992561	0.636	0.082	Tina-1
2.54899064466829e-64	1.67566205399258	0.873	0.752	Prosalpha4
3.38549559423842e-64	2.41630433550601	0.818	0.481	CG5292
1.40929469000119e-63	2.25101888991584	0.736	0.492	CG6543
2.7321317103314e-63	3.79148130466675	0.545	0.015	CG14545
5.80703068705557e-63	2.19812482634584	0.8	0.478	CG11555
9.98949771995974e-63	1.89716002570195	0.864	0.623	CG31694
1.07266706803756e-62	2.69025457222844	0.682	0.303	plu
2.81120548359278e-62	4.18943530171921	0.527	0.029	CG17270
7.27634048070275e-62	2.31846855068786	0.764	0.191	ovo
2.11885562671423e-61	3.53158729851172	0.618	0.136	BicD
3.32974309381325e-61	2.18430142777703	0.745	0.394	PHGPx
1.86019849243047e-60	2.24364426873737	0.7	0.345	ifc
